,open_DE,high_DE,low_DE,close_DE,volume_DE
2024-05-24 14:33:00,371.5791,371.7131,371.5543,371.5543,3708
2024-05-24 14:34:00,371.6436,371.6436,371.5146,371.6188,3461
2024-05-24 14:35:00,371.5046,371.5046,371.5046,371.5046,503
2024-05-24 14:36:00,371.5940,371.5940,371.5940,371.5940,772
2024-05-24 14:37:00,371.5890,371.5890,371.5890,371.5890,421
2024-05-24 14:38:00,371.6138,371.6833,371.5791,371.6833,1594
2024-05-24 14:39:00,371.6287,371.7627,371.6287,371.7577,1305
2024-05-24 14:40:00,371.8123,371.8471,371.8123,371.8471,765
2024-05-24 14:41:00,371.8272,371.8818,371.7925,371.8818,1841
2024-05-24 14:42:00,371.8833,371.8833,371.8833,371.8833,418
2024-05-24 14:43:00,371.9215,372.0208,371.9215,372.0208,1634
2024-05-24 14:44:00,372.0307,372.2423,372.0307,372.1748,1593
2024-05-24 14:45:00,372.2193,372.2766,372.2143,372.2243,1893
2024-05-24 14:46:00,372.2243,372.2540,372.1300,372.2540,1353
2024-05-24 14:47:00,372.2590,372.3086,372.2590,372.2590,2234
2024-05-24 14:48:00,372.2590,372.2590,372.2590,372.2590,1403
2024-05-24 14:49:00,372.2193,372.2193,372.1697,372.1994,3647
2024-05-24 14:50:00,372.1389,372.1994,372.1389,372.1746,1977
2024-05-24 14:51:00,372.2094,372.2193,372.1895,372.2193,3159
2024-05-24 14:52:00,372.1300,372.1845,372.0506,372.1845,3003
2024-05-24 14:54:00,372.1895,372.1895,372.1699,372.1699,445
2024-05-24 14:55:00,372.0803,372.1250,372.0307,372.1250,2699
2024-05-24 14:56:00,372.1597,372.1994,372.1448,372.1448,877
2024-05-24 14:57:00,372.1349,372.1349,372.1349,372.1349,437
2024-05-24 14:58:00,372.1399,372.1399,372.1058,372.1058,427
2024-05-24 14:59:00,372.0406,372.1101,372.0208,372.1101,1593
2024-05-24 15:00:00,372.0853,372.0853,372.0853,372.0853,383
2024-05-24 15:02:00,371.9910,372.0009,371.6734,371.8620,6156
2024-05-24 15:03:00,371.8322,371.8322,371.8322,371.8322,421
2024-05-24 15:04:00,371.7726,371.7759,371.7379,371.7759,1635
2024-05-24 15:06:00,371.7428,371.9017,371.7428,371.8223,2973
2024-05-24 15:07:00,371.8160,371.9513,371.8160,371.9066,3263
2024-05-24 15:08:00,371.9662,372.0208,371.9662,372.0208,2693
2024-05-24 15:09:00,372.0208,372.0803,372.0208,372.0257,966
2024-05-24 15:10:00,372.0903,372.0903,372.0208,372.0208,1326
2024-05-24 15:11:00,372.0208,372.0307,372.0208,372.0307,872
2024-05-24 15:12:00,372.0009,372.0307,371.9711,372.0307,1259
2024-05-24 15:13:00,372.0399,372.0704,372.0019,372.0704,1776
2024-05-24 15:14:00,372.0307,372.0307,371.9811,372.0158,5091
2024-05-24 15:15:00,371.9811,371.9811,371.8223,371.8223,3961
2024-05-24 15:16:00,371.7826,371.7826,371.7826,371.7826,577
2024-05-24 15:17:00,371.7875,371.8086,371.7875,371.7925,1038
2024-05-24 15:18:00,371.8520,372.0803,371.8520,372.0009,3303
2024-05-24 15:19:00,372.0059,372.1283,372.0059,372.0406,4423
2024-05-24 15:20:00,372.0357,372.0778,371.9314,371.9860,6287
2024-05-24 15:21:00,371.9860,372.0208,371.9414,371.9414,1229
2024-05-24 15:22:00,372.0406,372.2342,371.9860,372.2342,3724
2024-05-24 15:23:00,372.2342,372.3583,372.2342,372.2813,1567
2024-05-24 15:24:00,372.3334,372.4277,372.3037,372.4277,2041
2024-05-24 15:25:00,372.4377,372.5171,372.4377,372.4525,1867
2024-05-24 15:26:00,372.5170,372.5270,372.5170,372.5171,1200
2024-05-24 15:27:00,372.4476,372.5568,372.4476,372.5320,6944
2024-05-24 15:28:00,372.5320,372.5953,372.5270,372.5320,1322
2024-05-24 15:29:00,372.5320,372.5865,372.5320,372.5320,1526
2024-05-24 15:30:00,372.5320,372.5320,372.2987,372.3880,7274
2024-05-24 15:31:00,372.3186,372.3880,372.3185,372.3880,814
2024-05-24 15:32:00,372.4575,372.4674,372.3185,372.3185,4101
2024-05-24 15:33:00,372.3384,372.3880,372.3384,372.3583,1618
2024-05-24 15:34:00,372.3583,372.3831,372.2391,372.2937,4516
2024-05-24 15:35:00,372.2193,372.4873,372.2193,372.4774,3147
2024-05-24 15:36:00,372.5667,372.5667,372.3980,372.4724,3841
2024-05-24 15:37:00,372.4823,372.4823,372.2788,372.3285,4718
2024-05-24 15:38:00,372.3334,372.3632,372.2491,372.2888,4043
2024-05-24 15:39:00,372.2491,372.2734,372.1796,372.2462,1804
2024-05-24 15:40:00,372.2292,372.4575,372.2193,372.4079,3685
2024-05-24 15:41:00,372.3880,372.5468,372.3880,372.4079,4502
2024-05-24 15:42:00,372.4079,372.4079,372.1498,372.1498,3876
2024-05-24 15:43:00,372.1300,372.1609,371.8024,371.8545,5282
2024-05-24 15:44:00,371.8421,371.9215,371.7131,371.9215,2727
2024-05-24 15:45:00,371.8123,371.9612,371.8123,371.9116,2283
2024-05-24 15:46:00,371.9116,372.0306,371.8224,371.9364,3102
2024-05-24 15:47:00,371.8421,371.8719,371.5652,371.5652,7234
2024-05-24 15:48:00,371.6088,371.7319,371.5444,371.7319,4089
2024-05-24 15:49:00,371.6684,371.6825,371.5840,371.6825,4054
2024-05-24 15:50:00,371.5840,371.6932,371.4351,371.5096,7228
2024-05-24 15:51:00,371.5046,371.7230,371.4351,371.6486,9763
2024-05-24 15:52:00,371.6138,371.6932,371.4054,371.4054,7895
2024-05-24 15:53:00,371.4054,371.4848,371.3359,371.4054,5696
2024-05-24 15:54:00,371.4351,371.4848,371.4054,371.4054,4608
2024-05-24 15:55:00,371.4351,372.0009,371.4351,371.7974,15360
2024-05-24 15:56:00,371.7726,371.7826,371.6734,371.7329,10678
2024-05-24 15:57:00,371.6734,371.9066,371.6237,371.8421,12169
2024-05-24 15:58:00,371.9116,372.1200,371.8322,372.0654,17865
2024-05-24 15:59:00,372.0307,372.3980,371.8868,372.1796,47027
2024-05-24 16:00:00,372.1796,372.1895,372.1796,372.1796,237830
2024-05-24 16:01:00,372.1796,372.1796,372.1796,372.1796,175
2024-05-24 16:02:00,372.1796,372.2193,372.1796,372.1796,4037
2024-05-24 16:03:00,372.2491,372.2491,372.2491,372.2491,1
2024-05-24 16:05:00,372.2491,372.2491,372.2491,372.2491,25
2024-05-24 16:07:00,372.2193,372.2491,372.2193,372.2491,19
