,open_KO,high_KO,low_KO,close_KO,volume_KO
2024-08-13 19:22:00,67.9535,67.9684,67.9386,67.9684,11
2024-08-13 19:23:00,67.9535,67.9684,67.9535,67.9684,17
2024-08-13 19:26:00,67.9386,67.9535,67.9386,67.9535,7
2024-08-13 19:27:00,67.9386,67.9386,67.9386,67.9386,92
2024-08-13 19:29:00,67.9535,67.9535,67.9535,67.9535,1
2024-08-13 19:30:00,67.9386,67.9386,67.9386,67.9386,15
2024-08-13 19:33:00,67.9535,67.9584,67.9535,67.9584,3
2024-08-13 19:34:00,67.9684,67.9684,67.9684,67.9684,1
2024-08-13 19:35:00,67.9386,67.9386,67.9386,67.9386,15
2024-08-13 19:38:00,67.9535,67.9584,67.9386,67.9386,38
2024-08-13 19:41:00,67.9684,67.9882,67.9684,67.9882,17
2024-08-13 19:42:00,67.9584,67.9869,67.9584,67.9684,43
2024-08-13 19:43:00,67.9882,67.9882,67.9882,67.9882,6
2024-08-13 19:44:00,67.9684,67.9684,67.9386,67.9386,4
2024-08-13 19:45:00,67.9398,67.9398,67.9398,67.9398,1
2024-08-13 19:47:00,67.9882,67.9882,67.9882,67.9882,6
2024-08-13 19:48:00,67.9882,67.9882,67.9882,67.9882,1
2024-08-13 19:50:00,67.9386,67.9634,67.9386,67.9634,7
2024-08-13 19:51:00,67.9634,67.9634,67.9386,67.9634,6
2024-08-13 19:52:00,67.9386,67.9634,67.9386,67.9634,21
2024-08-13 19:54:00,67.9634,67.9634,67.9634,67.9634,1
2024-08-13 19:55:00,67.9634,67.9882,67.9634,67.9634,9
2024-08-13 19:56:00,67.9485,67.9634,67.9398,67.9398,10
2024-08-13 19:57:00,67.9386,67.9634,67.9386,67.9634,3
2024-08-13 19:58:00,67.9386,67.9386,67.9386,67.9386,92
2024-08-13 19:59:00,67.9386,67.9882,67.9386,67.9882,15
2024-08-14 04:00:00,67.8492,67.9882,67.8492,67.9882,86
2024-08-14 04:01:00,67.9882,67.9882,67.9882,67.9882,56
2024-08-14 04:02:00,67.9684,67.9982,67.9684,67.9982,446
2024-08-14 04:03:00,67.9982,68.0280,67.9088,68.0280,37
2024-08-14 04:04:00,67.9982,67.9982,67.9386,67.9982,141
2024-08-14 04:05:00,68.0081,68.0379,68.0081,68.0280,14
2024-08-14 04:07:00,67.9982,67.9982,67.9982,67.9982,1
2024-08-14 04:09:00,68.0280,68.1372,68.0280,68.1372,319
2024-08-14 04:10:00,68.1372,68.1372,68.1372,68.1372,3
2024-08-14 04:12:00,68.1372,68.1372,68.1372,68.1372,7
2024-08-14 04:13:00,68.1372,68.1372,68.1372,68.1372,4
2024-08-14 04:15:00,68.1372,68.1372,68.1372,68.1372,4
2024-08-14 04:16:00,68.0975,68.0975,68.0975,68.0975,5
2024-08-14 04:17:00,68.1372,68.1372,68.1372,68.1372,1
2024-08-14 04:19:00,68.1372,68.1372,68.1372,68.1372,1
2024-08-14 04:20:00,68.1372,68.1372,68.0975,68.0975,11
2024-08-14 04:22:00,68.1372,68.1372,68.1372,68.1372,1
2024-08-14 04:23:00,68.1372,68.1372,68.1372,68.1372,1
2024-08-14 04:24:00,68.1372,68.1372,68.1372,68.1372,1
2024-08-14 04:25:00,68.1372,68.1372,68.1372,68.1372,3
2024-08-14 04:27:00,68.1372,68.1372,68.1372,68.1372,1
2024-08-14 04:28:00,68.1372,68.1372,68.1273,68.1273,89
2024-08-14 04:29:00,68.0081,68.1273,68.0081,68.1273,3
2024-08-14 04:30:00,68.0081,68.1273,68.0081,68.1273,21
2024-08-14 04:32:00,68.0081,68.0280,68.0081,68.0280,15
2024-08-14 04:40:00,68.1174,68.1174,68.0379,68.0379,12
2024-08-14 04:41:00,68.0081,68.0081,68.0081,68.0081,14
2024-08-14 04:42:00,68.0280,68.0280,68.0280,68.0280,3
2024-08-14 04:49:00,68.1074,68.1074,68.1074,68.1074,1
2024-08-14 04:50:00,68.1174,68.1174,68.1174,68.1174,1
2024-08-14 04:51:00,68.0280,68.0280,67.9982,68.0180,61
2024-08-14 04:52:00,68.0975,68.0975,68.0180,68.0180,6
2024-08-14 04:54:00,68.1074,68.1074,68.1074,68.1074,4
2024-08-14 04:55:00,68.0975,68.1074,68.0975,68.1074,21
2024-08-14 04:57:00,68.0975,68.0975,68.0975,68.0975,5
2024-08-14 05:01:00,68.0975,68.0975,68.0975,68.0975,15
2024-08-14 05:02:00,68.0180,68.0180,68.0180,68.0180,17
2024-08-14 05:03:00,68.0379,68.0379,68.0280,68.0280,21
2024-08-14 05:04:00,68.0180,68.0180,68.0180,68.0180,2
2024-08-14 05:06:00,68.0280,68.0280,68.0280,68.0280,25
2024-08-14 05:07:00,68.0280,68.0280,68.0280,68.0280,10
2024-08-14 05:14:00,68.0876,68.0876,68.0876,68.0876,1
2024-08-14 05:15:00,68.0379,68.1074,68.0280,68.0280,30
2024-08-14 05:20:00,68.0876,68.0876,68.0876,68.0876,1
2024-08-14 05:21:00,68.0876,68.0876,68.0876,68.0876,5
2024-08-14 05:26:00,68.0876,68.0876,68.0876,68.0876,13
2024-08-14 05:27:00,68.0876,68.0876,68.0876,68.0876,1
2024-08-14 05:29:00,68.0776,68.0776,68.0776,68.0776,1
2024-08-14 05:30:00,68.0776,68.0876,68.0776,68.0876,4
2024-08-14 05:32:00,68.0379,68.0876,68.0379,68.0776,35
2024-08-14 05:34:00,68.0776,68.0876,68.0776,68.0876,3
2024-08-14 05:37:00,68.0677,68.0677,68.0677,68.0677,3
2024-08-14 05:39:00,68.0379,68.0379,68.0379,68.0379,1
2024-08-14 05:41:00,68.0379,68.0379,68.0379,68.0379,1
2024-08-14 05:45:00,68.0776,68.0975,68.0677,68.0677,3
2024-08-14 05:51:00,68.0677,68.0677,68.0677,68.0677,4
2024-08-14 05:52:00,68.0578,68.0578,68.0578,68.0578,1
2024-08-14 05:53:00,68.0379,68.0379,68.0379,68.0379,2
2024-08-14 05:55:00,68.0478,68.0478,68.0478,68.0478,86
