,open_GOOG,high_GOOG,low_GOOG,close_GOOG,volume_GOOG
2024-05-09 08:18:00,170.5685,170.5685,170.5286,170.5286,75
2024-05-09 08:19:00,170.5585,170.5585,170.5186,170.5186,6
2024-05-09 08:20:00,170.5685,170.5685,170.5186,170.5485,16
2024-05-09 08:21:00,170.5086,170.5386,170.5086,170.5086,9
2024-05-09 08:22:00,170.5785,170.5785,170.5186,170.5286,58
2024-05-09 08:23:00,170.5585,170.6782,170.5186,170.6283,654
2024-05-09 08:24:00,170.6782,170.6782,170.6084,170.6782,56
2024-05-09 08:25:00,170.6782,170.6782,170.6583,170.6583,53
2024-05-09 08:26:00,170.6583,170.6583,170.6583,170.6583,30
2024-05-09 08:27:00,170.6882,170.6882,170.6184,170.6659,406
2024-05-09 08:29:00,170.6383,170.6383,170.5685,170.5685,14
2024-05-09 08:30:00,170.6782,171.0772,170.6782,170.9775,1465
2024-05-09 08:31:00,170.9475,171.0772,170.9475,171.0772,90
2024-05-09 08:32:00,170.9874,171.0872,170.9575,171.0772,1037
2024-05-09 08:33:00,171.0772,171.1171,171.0373,171.0473,146
2024-05-09 08:34:00,171.0672,171.0772,170.8378,170.8378,839
2024-05-09 08:35:00,170.8877,170.9575,170.7879,170.7879,61
2024-05-09 08:36:00,170.8278,170.9974,170.7580,170.8677,3998
2024-05-09 08:37:00,170.9675,170.9675,170.7879,170.7879,579
2024-05-09 08:38:00,170.8777,170.9376,170.8777,170.8777,109
2024-05-09 08:39:00,170.9376,170.9575,170.8278,170.9575,370
2024-05-09 08:40:00,170.9276,170.9874,170.9126,170.9276,426
2024-05-09 08:41:00,170.9276,171.1171,170.9076,171.1171,1773
2024-05-09 08:42:00,171.1071,171.1170,171.1071,171.1071,337
2024-05-09 08:43:00,171.1171,171.1171,170.9775,170.9775,181
2024-05-09 08:44:00,171.0273,171.0373,170.9874,171.0174,522
2024-05-09 08:45:00,171.0074,171.0074,170.8079,170.8478,2238
2024-05-09 08:46:00,170.9775,170.9775,170.8578,170.8677,950
2024-05-09 08:47:00,170.7680,170.7680,170.7680,170.7680,100
2024-05-09 08:48:00,170.7780,170.8977,170.6932,170.8977,1305
2024-05-09 08:49:00,170.8179,170.8278,170.8179,170.8278,4
2024-05-09 08:50:00,170.8777,170.8877,170.8677,170.8677,100
2024-05-09 08:51:00,170.8677,170.9775,170.8677,170.9775,255
2024-05-09 08:52:00,170.9276,170.9775,170.9276,170.9475,538
2024-05-09 08:53:00,170.9974,171.0273,170.9575,171.0273,168
2024-05-09 08:54:00,171.0573,171.1171,171.0573,171.1171,201
2024-05-09 08:55:00,171.1371,171.1570,171.0772,171.1371,96
2024-05-09 08:56:00,171.1371,171.1969,171.1371,171.1969,1633
2024-05-09 08:57:00,171.2169,171.2269,171.0373,171.0373,1251
2024-05-09 08:58:00,171.0672,171.1471,170.9974,171.1471,119
2024-05-09 08:59:00,171.0573,171.1371,171.0573,171.1371,300
2024-05-09 09:00:00,171.0672,171.0872,170.9775,170.9775,491
2024-05-09 09:01:00,171.0174,171.1171,171.0174,171.1171,205
2024-05-09 09:02:00,171.0273,171.0273,170.9775,170.9775,2101
2024-05-09 09:03:00,171.0772,171.0772,171.0772,171.0772,2
2024-05-09 09:04:00,171.1171,171.1171,171.0273,171.0573,445
2024-05-09 09:05:00,171.0473,171.0872,171.0473,171.0872,111
2024-05-09 09:06:00,171.0872,171.1271,171.0273,171.1271,58
2024-05-09 09:07:00,171.0772,171.1271,171.0074,171.1171,2997
2024-05-09 09:08:00,171.0972,171.1171,171.0573,171.1071,411
2024-05-09 09:09:00,171.0922,171.1770,171.0573,171.1770,1186
2024-05-09 09:10:00,171.1670,171.1769,171.0872,171.1570,329
2024-05-09 09:11:00,171.1471,171.1570,171.1371,171.1371,956
2024-05-09 09:12:00,171.1371,171.1471,171.1171,171.1171,358
2024-05-09 09:13:00,171.1171,171.1570,171.1171,171.1171,1030
2024-05-09 09:14:00,171.1321,171.1321,171.0972,171.1171,280
2024-05-09 09:15:00,171.0872,171.1071,170.9276,170.9575,2218
2024-05-09 09:16:00,170.9924,171.0373,170.9775,171.0273,538
2024-05-09 09:17:00,171.0373,171.0373,170.9575,170.9575,283
2024-05-09 09:18:00,170.9575,171.1171,170.8677,171.1171,182
2024-05-09 09:19:00,170.9694,171.0273,170.9694,171.0124,30
2024-05-09 09:20:00,170.9575,170.9974,170.9276,170.9575,192
2024-05-09 09:21:00,170.9775,171.0074,170.8877,170.8877,144
2024-05-09 09:22:00,170.8777,170.9575,170.8578,170.8877,988
2024-05-09 09:23:00,171.0473,171.0473,170.8777,170.9645,73
2024-05-09 09:24:00,170.9376,170.9376,170.8777,170.8777,6
2024-05-09 09:25:00,170.8777,170.9675,170.6483,170.8179,1156
2024-05-09 09:26:00,170.8677,170.9675,170.7580,170.7680,108
2024-05-09 09:27:00,170.6483,170.9276,170.6483,170.8179,6857
2024-05-09 09:28:00,170.7879,170.7879,170.6084,170.6982,1779
2024-05-09 09:29:00,170.7261,170.7381,170.6383,170.7281,1055
2024-05-09 09:30:00,170.7281,172.0149,170.7281,171.9650,313511
2024-05-09 09:31:00,171.9650,171.9800,171.2968,171.5461,80979
2024-05-09 09:32:00,171.4962,171.5261,171.1171,171.1171,26640
2024-05-09 09:33:00,171.0772,171.0772,170.6782,170.8677,31640
2024-05-09 09:34:00,170.8578,171.1000,170.7580,170.9475,33916
2024-05-09 09:35:00,170.9176,170.9871,170.8179,170.9269,46713
2024-05-09 09:36:00,170.9176,170.9475,170.6882,170.6882,45427
2024-05-09 09:37:00,170.6782,170.8513,170.6483,170.8278,38730
2024-05-09 09:38:00,170.8138,170.8777,170.6682,170.8179,25320
2024-05-09 09:39:00,170.7879,170.9176,170.7879,170.8478,22893
2024-05-09 09:40:00,170.8877,170.9076,170.6602,170.7281,33591
2024-05-09 09:41:00,170.7381,170.7680,170.4189,170.4719,64826
2024-05-09 09:42:00,170.4687,170.6184,170.3789,170.4189,35946
2024-05-09 09:43:00,170.4588,170.5286,170.2996,170.3091,44350
2024-05-09 09:44:00,170.2968,170.3389,170.1994,170.2592,73724
2024-05-09 09:45:00,170.2692,170.2792,170.0897,170.0897,41359
2024-05-09 09:46:00,170.0996,170.2193,170.0398,170.1296,43545
2024-05-09 09:47:00,170.1395,170.1794,170.0498,170.1395,35746
2024-05-09 09:48:00,170.1395,170.1395,169.9999,169.9999,48352
2024-05-09 09:49:00,170.0099,170.2193,169.9999,170.1096,54279
2024-05-09 09:50:00,170.1196,170.3989,170.0897,170.3490,43491
2024-05-09 09:51:00,170.3490,170.4089,170.2792,170.2792,24215
2024-05-09 09:52:00,170.2792,170.3302,170.2293,170.2393,33875
2024-05-09 09:53:00,170.2293,170.2592,170.0199,170.0398,41134
2024-05-09 09:54:00,170.0498,170.2193,170.0298,170.1794,40494
2024-05-09 09:55:00,170.1894,170.2991,170.1645,170.1844,24272
2024-05-09 09:56:00,170.2019,170.2193,170.0516,170.1695,24978
2024-05-09 09:57:00,170.1794,170.2692,170.1296,170.1595,29727
2024-05-09 09:58:00,170.1415,170.1545,169.9999,170.0099,33722
2024-05-09 09:59:00,170.0126,170.1794,170.0099,170.1595,39968
2024-05-09 10:00:00,170.1595,170.2318,170.1296,170.2193,44615
2024-05-09 10:01:00,170.2293,170.2493,170.0897,170.0897,26969
2024-05-09 10:02:00,170.0947,170.1395,170.0099,170.0298,30020
2024-05-09 10:03:00,170.0298,170.0996,169.9899,170.0298,34353
2024-05-09 10:04:00,170.0198,170.0996,169.9301,170.0747,54702
2024-05-09 10:05:00,170.0697,170.1296,169.9900,170.0148,68854
2024-05-09 10:06:00,170.0210,170.0747,169.9550,170.0747,40473
2024-05-09 10:07:00,170.0697,170.0897,169.9700,169.9899,25425
2024-05-09 10:08:00,169.9899,169.9899,169.7605,169.8054,50551
2024-05-09 10:09:00,169.7904,169.9393,169.7804,169.8902,37380
2024-05-09 10:10:00,169.8902,169.9301,169.8203,169.9301,33005
2024-05-09 10:11:00,169.9500,170.1196,169.9450,170.0597,30129
2024-05-09 10:12:00,170.0548,170.1196,169.9001,169.9798,25500
2024-05-09 10:13:00,169.9700,169.9899,169.8503,169.9101,18709
2024-05-09 10:14:00,169.9101,169.9201,169.7904,169.8403,30744
2024-05-09 10:15:00,169.8403,169.8702,169.7405,169.8602,49400
2024-05-09 10:16:00,169.8544,169.8802,169.6956,169.7106,66507
2024-05-09 10:17:00,169.7015,169.7405,169.5310,169.5360,389069
2024-05-09 10:18:00,169.5410,169.6507,169.5310,169.6108,54964
2024-05-09 10:19:00,169.6108,169.6308,169.5111,169.5709,42882
2024-05-09 10:20:00,169.5709,169.6557,169.5510,169.6108,40608
2024-05-09 10:21:00,169.6009,169.6707,169.5809,169.6657,23707
