,open_F,high_F,low_F,close_F,volume_F
2024-04-18 19:23:00,11.7233,11.7233,11.7184,11.7184,7
2024-04-18 19:25:00,11.7233,11.7233,11.7233,11.7233,11
2024-04-18 19:26:00,11.7233,11.7330,11.7233,11.7330,4004
2024-04-18 19:27:00,11.7330,11.7330,11.7233,11.7330,10
2024-04-18 19:28:00,11.7233,11.7282,11.7233,11.7282,3
2024-04-18 19:29:00,11.7330,11.7330,11.7233,11.7330,530
2024-04-18 19:30:00,11.7233,11.7329,11.7233,11.7233,29
2024-04-18 19:32:00,11.7330,11.7330,11.7282,11.7282,22
2024-04-18 19:33:00,11.7330,11.7330,11.7233,11.7282,9
2024-04-18 19:34:00,11.7233,11.7233,11.7233,11.7233,44
2024-04-18 19:35:00,11.7330,11.7330,11.7282,11.7329,1704
2024-04-18 19:36:00,11.7328,11.7330,11.7233,11.7330,4110
2024-04-18 19:37:00,11.7233,11.7330,11.7233,11.7330,106
2024-04-18 19:40:00,11.7233,11.7233,11.7233,11.7233,301
2024-04-18 19:41:00,11.7282,11.7330,11.7233,11.7233,608
2024-04-18 19:42:00,11.7233,11.7330,11.7233,11.7282,642
2024-04-18 19:43:00,11.7330,11.7330,11.7233,11.7233,96
2024-04-18 19:44:00,11.7330,11.7330,11.7330,11.7330,175
2024-04-18 19:45:00,11.7330,11.7330,11.7282,11.7282,2
2024-04-18 19:46:00,11.7330,11.7330,11.7282,11.7282,2
2024-04-18 19:47:00,11.7233,11.7330,11.7233,11.7330,12
2024-04-18 19:49:00,11.7233,11.7330,11.7233,11.7330,41
2024-04-18 19:50:00,11.7233,11.7330,11.7233,11.7282,608
2024-04-18 19:51:00,11.7330,11.7330,11.7282,11.7282,2
2024-04-18 19:52:00,11.7233,11.7330,11.7233,11.7282,2520
2024-04-18 19:54:00,11.7233,11.7233,11.7233,11.7233,2
2024-04-18 19:55:00,11.7330,11.7330,11.7330,11.7330,9
2024-04-18 19:57:00,11.7282,11.7329,11.7233,11.7233,5
2024-04-18 19:58:00,11.7330,11.7330,11.7233,11.7233,211
2024-04-18 19:59:00,11.7233,11.7233,11.7233,11.7233,1275
2024-04-19 04:00:00,11.6552,11.7719,11.6552,11.6649,1180
2024-04-19 04:01:00,11.6941,11.6941,11.6941,11.6941,4
2024-04-19 04:02:00,11.6649,11.6649,11.6649,11.6649,200
2024-04-19 04:03:00,11.6649,11.6649,11.6649,11.6649,50
2024-04-19 04:05:00,11.6649,11.6649,11.6649,11.6649,47
2024-04-19 04:06:00,11.6649,11.6649,11.6649,11.6649,3
2024-04-19 04:07:00,11.6649,11.6649,11.6649,11.6649,100
2024-04-19 04:08:00,11.6649,11.6941,11.6649,11.6941,2581
2024-04-19 04:09:00,11.6747,11.6747,11.6747,11.6747,200
2024-04-19 04:10:00,11.6747,11.6941,11.6747,11.6941,104
2024-04-19 04:11:00,11.7330,11.7330,11.7136,11.7136,301
2024-04-19 04:12:00,11.7233,11.7233,11.7233,11.7233,200
2024-04-19 04:13:00,11.7233,11.7233,11.6941,11.6941,300
2024-04-19 04:14:00,11.6941,11.6941,11.6649,11.6649,4370
2024-04-19 04:15:00,11.6747,11.6941,11.6747,11.6941,225
2024-04-19 04:16:00,11.6747,11.6747,11.6552,11.6552,2349
2024-04-19 04:18:00,11.6455,11.6552,11.6455,11.6552,80
2024-04-19 04:19:00,11.6552,11.6552,11.6066,11.6552,14569
2024-04-19 04:20:00,11.6455,11.6552,11.6455,11.6552,450
2024-04-19 04:21:00,11.6649,11.6649,11.6649,11.6649,77
2024-04-19 04:22:00,11.6552,11.7136,11.6552,11.7136,62
2024-04-19 04:23:00,11.6649,11.6649,11.6649,11.6649,64
2024-04-19 04:24:00,11.6649,11.6649,11.6649,11.6649,1
2024-04-19 04:25:00,11.6747,11.6747,11.6747,11.6747,1
2024-04-19 04:27:00,11.6941,11.6941,11.6747,11.6747,87
2024-04-19 04:31:00,11.7038,11.7038,11.7038,11.7038,6
2024-04-19 04:35:00,11.7038,11.7038,11.7038,11.7038,5
2024-04-19 04:36:00,11.6552,11.6747,11.6455,11.6552,380
2024-04-19 04:38:00,11.6747,11.6747,11.6649,11.6649,60
2024-04-19 04:40:00,11.6649,11.6649,11.6649,11.6649,50
2024-04-19 04:44:00,11.6747,11.6747,11.6747,11.6747,25
2024-04-19 04:46:00,11.6747,11.6747,11.6747,11.6747,1
2024-04-19 04:48:00,11.6747,11.6747,11.6747,11.6747,9
2024-04-19 04:49:00,11.6747,11.6747,11.6747,11.6747,20
2024-04-19 04:50:00,11.6747,11.6747,11.6747,11.6747,10
2024-04-19 04:51:00,11.6649,11.6649,11.6649,11.6649,4
2024-04-19 04:52:00,11.6747,11.6747,11.6747,11.6747,5
2024-04-19 04:55:00,11.6649,11.6649,11.6649,11.6649,1
2024-04-19 05:03:00,11.6747,11.6747,11.6747,11.6747,16
2024-04-19 05:04:00,11.6649,11.6649,11.6649,11.6649,3
2024-04-19 05:07:00,11.6649,11.6649,11.6649,11.6649,60
2024-04-19 05:09:00,11.6552,11.6649,11.6552,11.6649,9
2024-04-19 05:12:00,11.6649,11.6649,11.6552,11.6552,2
2024-04-19 05:18:00,11.6552,11.6552,11.6552,11.6552,5
2024-04-19 05:22:00,11.6552,11.6552,11.6552,11.6552,10
2024-04-19 05:28:00,11.6552,11.6552,11.6552,11.6552,5
2024-04-19 05:43:00,11.6552,11.6552,11.6552,11.6552,102
2024-04-19 05:45:00,11.6649,11.6649,11.6649,11.6649,1
2024-04-19 05:46:00,11.6552,11.6552,11.6552,11.6552,1
2024-04-19 05:52:00,11.6552,11.6552,11.6552,11.6552,1
2024-04-19 05:53:00,11.6552,11.6552,11.6552,11.6552,4
2024-04-19 06:02:00,11.6552,11.6552,11.6552,11.6552,1
2024-04-19 06:05:00,11.6455,11.6455,11.6260,11.6357,920
2024-04-19 06:13:00,11.6455,11.6455,11.6455,11.6455,5
2024-04-19 06:14:00,11.6455,11.6455,11.6455,11.6455,5
2024-04-19 06:15:00,11.6455,11.6455,11.6455,11.6455,2
2024-04-19 06:23:00,11.6260,11.6260,11.6260,11.6260,36
2024-04-19 06:24:00,11.6260,11.6260,11.6163,11.6163,81
2024-04-19 06:26:00,11.6552,11.6552,11.6552,11.6552,100
2024-04-19 06:27:00,11.6455,11.6455,11.6455,11.6455,17
2024-04-19 06:33:00,11.6552,11.6552,11.6552,11.6552,10
2024-04-19 06:34:00,11.6552,11.6552,11.6552,11.6552,1
2024-04-19 06:35:00,11.6455,11.6455,11.6455,11.6455,313
2024-04-19 06:39:00,11.6455,11.6455,11.6260,11.6260,526
2024-04-19 06:40:00,11.6357,11.6357,11.6357,11.6357,1
2024-04-19 06:42:00,11.6357,11.6357,11.6357,11.6357,3
2024-04-19 06:48:00,11.6357,11.6357,11.6357,11.6357,2
2024-04-19 06:50:00,11.6357,11.6357,11.6357,11.6357,2
2024-04-19 06:53:00,11.6357,11.6357,11.6357,11.6357,1
2024-04-19 06:57:00,11.6455,11.6455,11.6455,11.6455,21
2024-04-19 06:58:00,11.6455,11.6455,11.6357,11.6357,28
2024-04-19 06:59:00,11.6455,11.6455,11.6455,11.6455,50
2024-04-19 07:00:00,11.6455,11.6747,11.6455,11.6649,6641
2024-04-19 07:01:00,11.6649,11.6649,11.6649,11.6649,200
