,open_JNJ,high_JNJ,low_JNJ,close_JNJ,volume_JNJ
2024-05-03 15:27:00,146.8201,146.8398,146.8004,146.8004,9558
2024-05-03 15:28:00,146.8038,146.8348,146.8004,146.8348,6248
2024-05-03 15:29:00,146.8496,146.8988,146.8496,146.8693,18280
2024-05-03 15:30:00,146.8597,146.8791,146.8004,146.8004,11548
2024-05-03 15:31:00,146.8004,146.8102,146.7413,146.7512,12067
2024-05-03 15:32:00,146.7610,146.7807,146.7118,146.7308,4861
2024-05-03 15:33:00,146.7118,146.7512,146.7019,146.7512,15849
2024-05-03 15:34:00,146.7610,146.7807,146.7336,146.7410,9989
2024-05-03 15:35:00,146.7364,146.7708,146.7315,146.7708,11220
2024-05-03 15:36:00,146.7809,146.8398,146.7809,146.8398,6928
2024-05-03 15:37:00,146.8299,146.8496,146.8014,146.8299,13131
2024-05-03 15:38:00,146.8398,146.8398,146.7610,146.7610,12833
2024-05-03 15:39:00,146.7610,146.7807,146.7216,146.7807,11231
2024-05-03 15:40:00,146.7708,146.7905,146.7610,146.7642,11365
2024-05-03 15:41:00,146.7706,146.8102,146.7610,146.7708,16280
2024-05-03 15:42:00,146.7610,146.7758,146.7413,146.7758,12239
2024-05-03 15:43:00,146.7807,146.7807,146.7413,146.7521,16319
2024-05-03 15:44:00,146.7610,146.7955,146.7561,146.7824,10924
2024-05-03 15:45:00,146.7905,146.8102,146.7708,146.8004,13138
2024-05-03 15:46:00,146.8102,146.8545,146.8102,146.8398,16372
2024-05-03 15:47:00,146.8496,146.8693,146.8201,146.8398,18932
2024-05-03 15:48:00,146.8299,146.8299,146.7758,146.7758,18051
2024-05-03 15:49:00,146.7708,146.8151,146.7413,146.7708,30654
2024-05-03 15:50:00,146.7807,146.9136,146.7807,146.8398,39329
2024-05-03 15:51:00,146.8398,146.8594,146.7955,146.8447,21489
2024-05-03 15:52:00,146.8398,146.9283,146.8053,146.9136,18561
2024-05-03 15:53:00,146.9087,147.0071,146.8890,146.9874,43696
2024-05-03 15:54:00,146.9677,147.0070,146.8791,147.0070,38689
2024-05-03 15:55:00,147.0071,147.0366,146.9136,147.0366,53734
2024-05-03 15:56:00,147.0465,147.0465,146.9185,146.9431,63864
2024-05-03 15:57:00,146.9431,146.9973,146.9087,146.9431,59625
2024-05-03 15:58:00,146.9382,146.9579,146.8791,146.9283,67231
2024-05-03 15:59:00,146.9283,147.0563,146.9185,146.9283,129790
2024-05-03 16:00:00,146.9333,147.0071,146.9283,146.9382,2118634
2024-05-03 16:01:00,146.9382,147.1055,146.8988,146.9382,40629
2024-05-03 16:02:00,146.9382,146.9776,146.9382,146.9776,8256
2024-05-03 16:05:00,147.0465,147.0465,146.9382,146.9382,15586
2024-05-03 16:06:00,147.0662,147.0662,147.0662,147.0662,70
2024-05-03 16:08:00,147.0662,147.0662,147.0662,147.0662,1
2024-05-03 16:09:00,146.9874,146.9874,146.9776,146.9874,185
2024-05-03 16:10:00,146.9382,146.9382,146.9382,146.9382,987251
2024-05-03 16:11:00,146.9973,146.9973,146.9973,146.9973,108
2024-05-03 16:13:00,147.0547,147.0547,147.0547,147.0547,500
2024-05-03 16:14:00,147.0169,147.0169,147.0169,147.0169,92
2024-05-03 16:15:00,146.9382,146.9874,146.9382,146.9874,3
2024-05-03 16:17:00,146.9874,146.9874,146.9776,146.9776,44
2024-05-03 16:18:00,147.0071,147.0071,147.0071,147.0071,6
2024-05-03 16:19:00,146.9874,146.9874,146.9874,146.9874,2
2024-05-03 16:20:00,146.9382,147.0071,146.9382,147.0071,3477
2024-05-03 16:24:00,146.9874,146.9874,146.9874,146.9874,1
2024-05-03 16:26:00,147.0169,147.0169,147.0169,147.0169,1
2024-05-03 16:27:00,146.9874,146.9874,146.9874,146.9874,10
2024-05-03 16:29:00,147.0071,147.0071,147.0071,147.0071,1
2024-05-03 16:30:00,146.9874,146.9874,146.9776,146.9776,40
2024-05-03 16:33:00,146.9874,146.9874,146.9776,146.9776,62
2024-05-03 16:36:00,146.9874,147.0563,146.9776,147.0563,7
2024-05-03 16:37:00,147.0563,147.1646,147.0563,147.0662,840
2024-05-03 16:38:00,147.0465,147.0662,147.0465,147.0563,7
2024-05-03 16:39:00,147.0646,147.0646,147.0646,147.0646,4
2024-05-03 16:40:00,147.0660,147.0660,147.0660,147.0660,4
2024-05-03 16:41:00,147.0662,147.0662,147.0662,147.0662,9
2024-05-03 16:42:00,146.2030,146.4579,145.9334,146.2474,8
2024-05-03 16:43:00,147.0655,149.6649,147.0655,149.6649,37
2024-05-03 16:44:00,149.6649,149.6649,149.6649,149.6649,22
2024-05-03 16:45:00,143.4240,143.4240,143.4240,143.4240,11
2024-05-03 16:47:00,147.0662,147.0662,146.9776,146.9776,2
2024-05-03 16:48:00,147.0662,147.0662,147.0662,147.0662,5
2024-05-03 16:50:00,147.0662,147.0662,147.0662,147.0662,1
2024-05-03 16:51:00,147.0465,147.0465,147.0465,147.0465,10
2024-05-03 16:53:00,147.5485,147.5485,147.0662,147.0662,16
2024-05-03 16:55:00,147.0563,147.0563,146.9874,146.9874,108
2024-05-03 16:57:00,146.9382,146.9382,146.9382,146.9382,103278
2024-05-03 16:58:00,146.9776,146.9776,146.9776,146.9776,2
2024-05-03 17:02:00,146.9874,147.0662,146.9874,147.0662,11
2024-05-03 17:04:00,146.9382,146.9382,146.9382,146.9382,55670
2024-05-03 17:06:00,147.0662,147.0662,147.0662,147.0662,5
2024-05-03 17:08:00,147.0662,147.0662,147.0662,147.0662,1
2024-05-03 17:10:00,147.0662,147.0662,147.0662,147.0662,1
2024-05-03 17:11:00,146.9874,146.9874,146.9874,146.9874,1
2024-05-03 17:12:00,147.0662,147.0662,147.0662,147.0662,2
2024-05-03 17:14:00,147.0645,147.0645,147.0645,147.0645,1
2024-05-03 17:15:00,146.9793,146.9793,146.9793,146.9793,5
2024-05-03 17:17:00,146.9776,146.9776,146.9776,146.9776,40
2024-05-03 17:18:00,147.0662,147.0662,146.9776,146.9776,105
2024-05-03 17:20:00,146.9776,146.9776,146.9776,146.9776,1
2024-05-03 17:28:00,147.0662,147.0662,147.0662,147.0662,1
2024-05-03 17:30:00,147.5485,147.5485,145.8947,147.0662,94
2024-05-03 17:35:00,147.0647,147.0662,147.0647,147.0662,2
2024-05-03 17:37:00,147.0662,147.0662,147.0662,147.0662,91
2024-05-03 17:39:00,147.0662,147.0662,147.0662,147.0662,4
2024-05-03 17:40:00,147.0662,147.0662,147.0662,147.0662,1
2024-05-03 17:42:00,147.0071,147.0169,147.0071,147.0169,4
2024-05-03 17:43:00,146.9874,147.0563,146.9874,147.0563,10
2024-05-03 17:48:00,147.0957,147.4599,147.0563,147.4599,1436
2024-05-03 17:49:00,147.3812,147.3812,147.3812,147.3812,53
2024-05-03 17:52:00,147.1646,147.1646,147.1646,147.1646,57
2024-05-03 17:57:00,147.1646,147.1646,147.1646,147.1646,2
2024-05-03 17:59:00,147.4598,147.4598,147.4501,147.4501,2
2024-05-03 18:00:00,147.4501,147.4501,147.4501,147.4501,1
2024-05-03 18:04:00,147.4501,147.4501,147.4501,147.4501,1
