,open_GS,high_GS,low_GS,close_GS,volume_GS
2024-07-24 15:45:00,485.0989,485.2669,484.9985,485.1824,3529
2024-07-24 15:46:00,485.0879,485.0879,484.6306,484.6306,4661
2024-07-24 15:47:00,484.6207,484.6207,484.3423,484.3423,2712
2024-07-24 15:48:00,484.4219,484.5013,484.0739,484.0739,6277
2024-07-24 15:49:00,484.1534,484.5213,484.1534,484.2031,5983
2024-07-24 15:50:00,484.3622,484.5809,484.0739,484.0938,9755
2024-07-24 15:51:00,484.0938,484.4219,484.0739,484.1236,8727
2024-07-24 15:52:00,484.1236,484.1286,483.4376,483.5271,9676
2024-07-24 15:53:00,483.5371,483.8055,483.3581,483.5470,9268
2024-07-24 15:54:00,483.5371,483.7160,483.2786,483.2786,8497
2024-07-24 15:55:00,483.4277,483.6663,482.9803,483.0102,19125
2024-07-24 15:56:00,482.9803,483.3382,482.9803,483.3382,11916
2024-07-24 15:57:00,483.3879,483.5470,483.1891,483.4973,9378
2024-07-24 15:58:00,483.5371,483.9745,483.5371,483.9248,18241
2024-07-24 15:59:00,483.7259,484.4765,483.6464,483.6663,40422
2024-07-24 16:00:00,483.6663,483.8552,483.6663,483.7359,483142
2024-07-24 16:03:00,483.7458,483.7458,483.7458,483.7458,1
2024-07-24 16:04:00,484.3523,484.3523,483.8552,483.8552,352
2024-07-24 16:05:00,483.8552,483.8552,483.8552,483.8552,2310
2024-07-24 16:07:00,483.8552,483.8552,483.8552,483.8552,2
2024-07-24 16:08:00,484.5014,484.5014,484.5014,484.5014,6
2024-07-24 16:10:00,483.8552,484.5014,483.8552,484.5014,234566
2024-07-24 16:11:00,483.8552,483.8552,483.8552,483.8552,506
2024-07-24 16:15:00,483.8552,484.1534,483.8552,484.1534,3
2024-07-24 16:16:00,484.1435,484.1435,484.1435,484.1435,15
2024-07-24 16:17:00,484.4914,484.5014,484.4914,484.5014,463
2024-07-24 16:19:00,484.5014,484.5014,484.5014,484.5014,9
2024-07-24 16:20:00,483.8552,484.5014,483.8552,484.5014,5199
2024-07-24 16:26:00,487.1260,487.1260,487.1260,487.1260,1
2024-07-24 16:28:00,487.0365,487.0365,487.0365,487.0365,7
2024-07-24 16:29:00,484.1534,484.1534,484.1534,484.1534,11
2024-07-24 16:30:00,487.0365,487.0365,484.1534,484.1534,5
2024-07-24 16:32:00,485.8236,485.8236,485.8236,485.8236,1
2024-07-24 16:33:00,485.8236,489.8698,485.8137,489.8698,16
2024-07-24 16:35:00,485.8137,485.8137,485.8137,485.8137,2
2024-07-24 16:40:00,487.1359,487.1359,487.1359,487.1359,1
2024-07-24 16:41:00,484.1534,484.1534,484.1534,484.1534,15
2024-07-24 16:42:00,485.8137,485.8137,485.8137,485.8137,9
2024-07-24 16:46:00,483.8552,483.8552,483.8552,483.8552,3441
2024-07-24 17:00:00,484.6505,484.6505,484.6505,484.6505,3
2024-07-24 17:04:00,484.6505,484.6505,484.6505,484.6505,2
2024-07-24 17:07:00,486.1417,486.1417,484.6505,484.6505,3
2024-07-24 17:08:00,486.1417,486.1417,486.1417,486.1417,5
2024-07-24 17:10:00,483.8552,483.8552,483.8552,483.8552,8741
2024-07-24 17:16:00,483.8552,483.8552,483.8552,483.8552,5510
2024-07-24 17:17:00,484.1534,484.1534,484.1534,484.1534,40
2024-07-24 17:19:00,486.1417,486.1417,484.1534,484.1534,7
2024-07-24 17:30:00,486.1417,486.1417,486.1417,486.1417,1
2024-07-24 17:33:00,484.1534,484.1534,484.1534,484.1534,4
2024-07-24 17:34:00,486.1417,486.1417,486.1417,486.1417,7
2024-07-24 17:40:00,485.1376,485.6447,485.1376,485.6447,11
2024-07-24 17:48:00,485.0681,485.0681,485.0681,485.0681,11
2024-07-24 18:06:00,485.0482,485.0482,485.0482,485.0482,20
2024-07-24 18:08:00,486.1417,486.1417,486.1417,486.1417,1
2024-07-24 18:10:00,486.1417,486.1417,486.1417,486.1417,42
2024-07-24 18:18:00,486.1417,486.1417,486.1417,486.1417,1
2024-07-24 18:19:00,484.4020,484.4020,484.4020,484.4020,1
2024-07-24 18:22:00,486.1318,486.1318,486.1318,486.1318,2
2024-07-24 18:25:00,486.1318,486.1318,486.1318,486.1318,60
2024-07-24 18:26:00,486.1417,486.1417,486.1417,486.1417,1
2024-07-24 18:29:00,486.1417,486.1417,486.1417,486.1417,3
2024-07-24 18:30:00,483.8552,483.8552,483.8552,483.8552,234564
2024-07-24 18:33:00,484.4119,484.4119,484.4119,484.4119,1
2024-07-24 18:37:00,485.1376,485.1476,485.1376,485.1476,8
2024-07-24 18:40:00,486.1318,486.1318,486.1318,486.1318,50
2024-07-24 18:44:00,485.1575,485.1575,485.1476,485.1476,9
2024-07-24 18:51:00,486.1417,486.1417,486.1417,486.1417,5
2024-07-24 18:56:00,486.1417,486.1417,486.1417,486.1417,800
2024-07-24 19:00:00,483.8552,483.8552,483.8552,483.8552,234564
2024-07-24 19:01:00,485.1476,485.1476,485.1476,485.1476,10
2024-07-24 19:04:00,486.1417,486.1417,486.1417,486.1417,1
2024-07-24 19:18:00,486.0224,486.0224,486.0224,486.0224,2
2024-07-24 19:19:00,486.0224,486.0224,486.0224,486.0224,2
2024-07-24 19:21:00,484.2128,484.2128,484.2128,484.2128,1
2024-07-24 19:25:00,486.1318,486.1318,486.1318,486.1318,3
2024-07-24 19:35:00,486.1417,486.1417,486.1417,486.1417,10
