,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT
2024-08-06 11:09:00,403.8706,404.1002,403.6010,403.9904,63983
2024-08-06 11:10:00,403.8706,404.0403,403.1319,403.1319,100927
2024-08-06 11:11:00,403.0820,403.1818,402.7725,403.1419,35213
2024-08-06 11:12:00,403.1019,403.2217,402.5230,403.0221,50739
2024-08-06 11:13:00,403.0221,403.7158,402.9722,403.6210,49165
2024-08-06 11:14:00,403.6410,403.6410,402.9123,403.0663,53582
2024-08-06 11:15:00,402.9921,403.1518,401.8292,401.8517,52486
2024-08-06 11:16:00,401.9240,402.1337,401.8545,402.1137,36525
2024-08-06 11:17:00,402.1736,402.5529,402.1337,402.4731,35625
2024-08-06 11:18:00,402.4132,402.9821,402.1636,402.9722,43264
2024-08-06 11:19:00,403.0221,403.1518,402.6527,402.7675,19453
2024-08-06 11:20:00,402.7376,402.7775,402.3932,402.4347,64231
2024-08-06 11:21:00,402.4231,402.6028,401.9640,401.9640,36040
2024-08-06 11:22:00,401.8841,402.2734,401.8641,402.0338,33565
2024-08-06 11:23:00,402.0638,402.6627,402.0588,402.6228,38649
2024-08-06 11:24:00,402.6078,402.6727,402.1137,402.2534,29495
2024-08-06 11:25:00,402.2534,402.4032,402.0338,402.1037,22221
2024-08-06 11:26:00,402.1137,402.3932,401.8442,401.9490,55895
2024-08-06 11:27:00,401.9739,401.9739,401.5247,401.5927,42545
2024-08-06 11:28:00,401.5447,401.6345,400.9558,401.0656,67804
2024-08-06 11:29:00,401.1953,401.1953,400.3968,400.5265,50980
2024-08-06 11:30:00,400.4716,400.9258,400.4367,400.8260,33519
2024-08-06 11:31:00,400.8410,401.0256,400.5165,400.5165,38008
2024-08-06 11:32:00,400.5259,401.4449,400.4666,401.2652,45632
2024-08-06 11:33:00,401.3251,401.8940,401.2253,401.5447,31106
2024-08-06 11:34:00,401.6445,401.8542,401.4589,401.8242,19419
2024-08-06 11:35:00,401.9091,402.1287,401.2053,401.2353,28271
2024-08-06 11:36:00,401.3251,401.7543,401.2652,401.2902,36169
2024-08-06 11:37:00,401.2541,402.0438,401.1155,401.8641,35334
2024-08-06 11:38:00,401.9141,401.9141,401.2458,401.3850,32623
2024-08-06 11:39:00,401.2852,402.0837,401.2852,402.0837,17479
2024-08-06 11:40:00,402.0837,402.1736,401.7573,402.0139,23105
2024-08-06 11:41:00,402.0638,402.6128,402.0039,402.4231,38359
2024-08-06 11:42:00,402.4530,402.5529,402.2135,402.2385,22604
2024-08-06 11:43:00,402.2135,402.4831,401.7543,402.1048,26852
2024-08-06 11:44:00,402.1536,402.7825,402.0538,402.7725,22013
2024-08-06 11:45:00,402.7825,402.8224,402.4381,402.4531,33966
