,open_XOM,high_XOM,low_XOM,close_XOM,volume_XOM
2024-06-18 13:07:00,108.0356,108.0455,108.0157,108.0356,21077
2024-06-18 13:08:00,108.0455,108.0554,108.0157,108.0157,14595
2024-06-18 13:09:00,108.0157,108.0256,107.9959,108.0256,13885
2024-06-18 13:10:00,108.0256,108.0753,107.9860,108.0653,24704
2024-06-18 13:11:00,108.0653,108.0753,108.0157,108.0753,19595
2024-06-18 13:12:00,108.0753,108.0901,108.0554,108.0802,12376
2024-06-18 13:13:00,108.0852,108.1943,108.0852,108.1893,60408
2024-06-18 13:14:00,108.1943,108.2241,108.1447,108.1993,24723
2024-06-18 13:15:00,108.1993,108.2208,108.1149,108.1497,23466
2024-06-18 13:16:00,108.1447,108.2141,108.1348,108.2092,9960
2024-06-18 13:17:00,108.2042,108.2141,108.1844,108.2141,11228
2024-06-18 13:18:00,108.2141,108.2637,108.2042,108.2548,17157
2024-06-18 13:19:00,108.2637,108.2637,108.2141,108.2439,9909
2024-06-18 13:20:00,108.2386,108.2637,108.2340,108.2538,13463
2024-06-18 13:21:00,108.2538,108.2737,108.2389,108.2588,12672
2024-06-18 13:22:00,108.2588,108.4026,108.2588,108.4026,26222
2024-06-18 13:23:00,108.4111,108.4622,108.4026,108.4322,19481
2024-06-18 13:24:00,108.4324,108.4423,108.4225,108.4310,21853
2024-06-18 13:25:00,108.4274,108.4622,108.4225,108.4473,20894
2024-06-18 13:26:00,108.4423,108.4522,108.4026,108.4324,17817
2024-06-18 13:27:00,108.4324,108.4572,108.4126,108.4126,13011
2024-06-18 13:28:00,108.4076,108.4086,108.3778,108.3828,16482
2024-06-18 13:29:00,108.3828,108.3828,108.2935,108.3034,21150
2024-06-18 13:30:00,108.2935,108.2935,108.2340,108.2439,21255
2024-06-18 13:31:00,108.2439,108.2439,108.2042,108.2141,16316
2024-06-18 13:32:00,108.2092,108.2340,108.2042,108.2191,25016
2024-06-18 13:33:00,108.2191,108.2538,108.2141,108.2241,16157
2024-06-18 13:34:00,108.2241,108.2439,108.2092,108.2389,17599
2024-06-18 13:35:00,108.2389,108.2439,108.2241,108.2393,13260
2024-06-18 13:36:00,108.2340,108.2935,108.2340,108.2836,14824
2024-06-18 13:37:00,108.2738,108.3233,108.2637,108.3233,25778
2024-06-18 13:38:00,108.3332,108.3878,108.3332,108.3431,16808
2024-06-18 13:39:00,108.3332,108.3729,108.3233,108.3729,12431
2024-06-18 13:40:00,108.3729,108.4423,108.3532,108.4374,15750
2024-06-18 13:41:00,108.4374,108.4423,108.3729,108.3977,15672
2024-06-18 13:42:00,108.3977,108.4026,108.3729,108.3729,10433
2024-06-18 13:43:00,108.3729,108.4225,108.3676,108.4126,13216
2024-06-18 13:44:00,108.4126,108.4311,108.3729,108.3828,12680
2024-06-18 13:45:00,108.3729,108.3949,108.3679,108.3679,12581
2024-06-18 13:46:00,108.3630,108.3729,108.3332,108.3381,13007
2024-06-18 13:47:00,108.3431,108.3580,108.3233,108.3332,12460
2024-06-18 13:48:00,108.3332,108.3381,108.2935,108.3282,20946
